City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Year,Month,DayOfWeek,DayOfYear
Delhi,55.85,103.62,12.3,27.07,26.48,31.91,0.81,15.81,38.23,2.53,16.24,0.64,124.0,2020,3,1,84
Delhi,37.87,68.03,13.09,21.11,22.57,34.43,0.68,11.49,32.11,1.67,13.62,0.71,92.0,2020,3,2,85
Delhi,45.69,75.81,9.02,16.58,17.41,33.68,0.58,12.82,30.59,1.38,8.88,0.7,93.0,2020,3,3,86
Delhi,26.89,45.48,8.34,15.32,15.89,27.4,0.53,11.04,27.38,1.11,9.17,2.33,76.0,2020,3,4,87
Delhi,21.23,34.15,9.87,17.52,18.34,25.22,0.54,10.28,25.06,1.07,9.76,0.71,51.0,2020,3,5,88
Delhi,27.59,55.75,8.74,16.6,16.42,23.98,0.52,10.39,35.75,0.97,8.31,1.31,64.0,2020,3,6,89
Delhi,35.08,64.66,8.29,17.52,16.62,23.21,0.58,12.47,40.26,1.08,9.0,1.32,74.0,2020,3,0,90
Delhi,35.31,67.01,9.36,18.03,18.01,26.5,0.56,12.33,40.96,1.06,8.98,1.45,81.0,2020,3,1,91
Delhi,32.88,65.84,10.4,19.17,19.26,26.73,0.62,13.0,35.06,1.12,9.17,3.01,80.0,2020,4,2,92
Delhi,28.51,61.06,9.91,17.18,17.72,22.22,0.6,10.84,39.47,0.91,7.85,0.97,78.0,2020,4,3,93
Delhi,31.36,62.69,9.29,20.07,19.33,21.54,0.61,11.99,46.82,1.13,8.6,0.77,84.0,2020,4,4,94
Delhi,40.79,77.64,10.07,22.38,21.19,23.06,0.68,12.59,41.26,1.3,9.64,0.89,90.0,2020,4,5,95
Delhi,51.79,96.88,10.99,24.42,22.78,25.14,0.81,16.03,44.55,1.74,12.38,0.26,103.0,2020,4,6,96
Delhi,59.91,114.88,11.05,24.37,22.68,26.41,0.81,15.59,44.16,2.04,12.8,0.24,134.0,2020,4,0,97
Delhi,33.12,94.02,8.5,19.27,17.38,25.53,0.6,13.46,42.65,1.01,9.13,0.13,100.0,2020,4,1,98
Delhi,29.7,79.04,8.38,18.56,16.51,23.41,0.56,12.85,45.8,0.99,8.24,0.05,91.0,2020,4,2,99
Delhi,36.13,76.32,8.49,21.37,18.16,23.84,0.66,14.2,48.34,1.11,7.52,0.07,89.0,2020,4,3,100
Delhi,57.67,112.93,9.8,27.12,23.3,27.71,0.81,16.32,40.36,1.79,11.45,0.14,111.0,2020,4,4,101
Delhi,53.03,118.1,9.54,23.64,21.9,28.33,0.83,18.38,49.51,1.88,11.18,0.04,126.0,2020,4,5,102
Delhi,38.57,92.7,5.48,17.59,14.66,26.99,0.67,15.7,50.15,1.19,6.87,0.0,102.0,2020,4,6,103
Delhi,60.6,136.77,7.16,23.4,19.83,27.95,0.83,19.86,41.07,1.78,9.62,0.0,119.0,2020,4,0,104
Delhi,58.22,144.7,8.83,25.71,22.96,28.76,0.93,17.38,40.74,2.04,13.12,0.01,134.0,2020,4,1,105
Delhi,58.31,190.98,10.37,24.55,24.05,28.36,0.93,14.89,38.22,2.36,11.89,0.02,152.0,2020,4,2,106
Delhi,69.8,191.17,11.86,25.01,25.66,30.36,0.94,19.42,41.87,2.4,13.75,0.01,172.0,2020,4,3,107
Delhi,26.93,89.58,8.12,15.83,16.95,26.06,0.64,14.08,53.53,1.07,7.79,0.0,123.0,2020,4,4,108
Delhi,29.09,102.53,8.45,15.45,17.02,27.18,0.68,12.63,49.14,1.19,7.55,0.0,102.0,2020,4,5,109
Delhi,35.49,73.86,10.13,19.72,20.82,29.94,0.71,13.17,40.53,1.29,9.46,0.0,95.0,2020,4,6,110
Delhi,52.86,113.25,12.38,24.56,25.55,31.57,1.02,15.06,32.67,2.37,15.52,0.0,115.0,2020,4,0,111
Delhi,37.17,87.27,8.89,19.64,19.57,29.75,0.82,15.36,48.56,1.48,8.92,0.0,102.0,2020,4,1,112
Delhi,58.25,130.99,10.78,24.79,24.17,29.39,0.86,17.34,46.94,2.03,13.9,0.01,122.0,2020,4,2,113
Delhi,54.71,127.82,9.42,24.83,22.92,30.02,0.91,17.39,43.99,2.8,17.19,0.01,129.0,2020,4,3,114
Delhi,65.91,138.46,11.0,25.62,24.87,32.62,0.99,18.62,47.98,2.57,13.43,0.06,143.0,2020,4,4,115
Delhi,33.09,85.83,9.6,18.68,19.91,28.65,0.75,12.76,54.53,1.13,8.55,0.0,121.0,2020,4,5,116
Delhi,40.24,117.1,8.42,17.45,17.77,31.61,0.77,16.21,47.16,1.68,8.42,0.0,119.0,2020,4,6,117
Delhi,27.18,53.02,8.28,14.8,16.38,29.94,0.76,15.59,53.43,1.24,6.39,0.0,98.0,2020,4,0,118
